web_scraper_order,web_scraper_start_url,pagination,data,title,data2
"1789836290-82","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","faire l'école buissonnière","manquer l'école ; se promener au lieu d'aller en classe","v"
"1789836290-83","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","revenir bredouille","ne ramener aucun gibier ; ne rien gagner ; échouer dans une entreprise ; rentrer sans avoir obtenu ce qu'on désirait","v"
"1789836290-84","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","être un as","être le meilleur dans son genre ; être le meilleur dans l'activité qu'on exerce","v"
"1789836290-85","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","faire chou blanc","ne pas réussir son coup ; ne rien gagner ; échouer ; rater son coup ; ne pas trouver ; subir un échec","v"
"1789836290-86","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","avoir le cul bordé de nouilles","être très chanceux ; avoir beaucoup de chance","v"
"1789836290-87","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","ne pas nous en chier une pendule","ne pas nous embêter ; nous agacer ; nous bassiner à force de se lamenter ; seriner ; ressasser toujours les mêmes déconvenues","v"
"1789836290-88","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","prendre son pied","avoir du plaisir ou un orgasme au cours de l'acte sexuel ; prendre un grand plaisir en pratiquant une activité ; prendre un grand plaisir en découvrant une nouvelle passion ; grimper au rideau ; prendre son fade ; prendre son taf","v"
"1789836290-89","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","coeur d'artichaut","personne qui tombe facilement amoureuse ; inconstant en amour","v"
"1789836290-90","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","bonne poire","trop bon ; naïf ; niais ; qui se laisse mener par le bout du nez ; simple d'esprit et ingénu","n"
"1789836290-91","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","se presser le citron","se torturer l'esprit ; se creuser la tête ; faire un effort intellectuel pénible","v"
"1789836290-92","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","raconter des salades","raconter des histoires ; raconter des mensonges ; mentir ; raconter des cracks","v"
"1789836290-93","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","menteur comme un soutien-gorge","très menteur","adj"
"1789836290-94","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","tomber à pic","arriver au bon moment ; agir juste à temps ; survenir à point nommé","v"
"1789836290-95","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","on ne peut avoir le beurre et l'argent du beurre","on ne peut pas avoir le beurre, l'argent du beurre, et le cul de la laitière ; on ne peut pas tout avoir ; il faut choisir dans la vie","exp"
"1789836290-96","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","se demander si c'est du lard ou du cochon","ne pas savoir à quoi s'en tenir ; avoir du mal à comprendre de quoi il s'agit ; ne pas savoir si c'est du lard ou du cochon","v"
"1789836290-97","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","gueule de bois","biture ; cuite ; désagréables symptômes d'un lendemain de cuite ; grande fatigue après une soirée trop festive ; veisalgie ; xylostome ; casque à boulons ; mauvais goût dans la bouche après avoir trop bu, dû à un abus d'alcool","n"
"1789836290-98","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","vendre la peau de l'ours avant de l'avoir tué","se féliciter trop tôt d'un succès pas encore acquis ; disposer trop vite d'une chose qu'on ne possède pas encore réellement ; se flatter trop tôt d'un succès ; se réjouir de quelque chose pas encore gagné","v"
"1789836290-99","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","jeter de l'huile sur le feu","envenimer une querelle ; inciter à la dispute ; aggraver une situation ; attiser ; envenimer","v"
"1789836290-100","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-2","lune de miel","voyage de noces ; les premiers temps du mariage ; nuit de noces ; des jours d'amour et de câlins, juste après le mariage ; période d'un mois ou lunaison suivant les noces ; période faste","n"
"1789836295-101","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","passer l'arme à gauche","mourir ; casser sa pipe","v"
"1789836295-102","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","être Fanny","être mis Fanny ; embrasser Fanny ; perdre une partie sans marquer de point","v"
"1789836295-103","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","en tout bien tout honneur","avec des intentions honorables ; sans arrière-pensées","exp"
"1789836295-104","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","à bâtons rompus","sans continuité ; avec de fréquentes interruptions ; de façon désordonnée ; sans ordre du jour ; de façon informelle ; d'une façon irrégulière","adv"
"1789836295-105","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","trempé comme une soupe","trempé ; mouillé ; complètement mouillé","adj"
"1789836295-106","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","boire du petit lait","eprouver un sentiment de vive satisfaction d'amour-propre ; être très flatté","v"
"1789836295-107","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","reprendre du poil de la bête","aller mieux après avoir été très malade ; reprendre l'avantage sur un adversaire après avoir été en situation de faiblesse ; se remplumer ; se ressaisir ; retrouver petit à petit une meilleure santé ; retrouver une situation favorable ; reprendre des forces ; reprendre du courage ; reprendre le dessus","v"
"1789836295-108","https://www.expressio.fr/toutes-les-expressions","https://www.expressio.fr/toutes-les-expressions/page-3","tomber sur un bec","tomber sur une difficulté ; tomber sur un obstacle imprévu ; tomber sur une fin de non-recevoir ; avoir un pépin","v"
